,cod,valor,periodo
0,11,329,1989-01-15
1,12,52,1989-01-15
2,13,290,1989-01-15
3,14,49,1989-01-15
4,15,621,1989-01-15
5,16,40,1989-01-15
6,17,108,1989-01-15
7,21,443,1989-01-15
8,22,309,1989-01-15
9,23,621,1989-01-15
10,24,352,1989-01-15
11,25,390,1989-01-15
12,26,1320,1989-01-15
13,27,536,1989-01-15
14,28,186,1989-01-15
15,29,1197,1989-01-15
16,31,2417,1989-01-15
17,32,662,1989-01-15
18,33,3305,1989-01-15
19,35,7828,1989-01-15
20,41,2336,1989-01-15
21,42,1532,1989-01-15
22,43,1682,1989-01-15
23,50,502,1989-01-15
24,51,313,1989-01-15
25,52,1389,1989-01-15
26,53,614,1989-01-15
27,11,318,1990-01-15
28,53,614,1990-01-15
29,52,966,1990-01-15
30,51,282,1990-01-15
31,50,475,1990-01-15
32,43,1715,1990-01-15
33,42,1444,1990-01-15
34,41,2356,1990-01-15
35,35,7886,1990-01-15
36,33,3847,1990-01-15
37,32,677,1990-01-15
38,31,2279,1990-01-15
39,29,733,1990-01-15
40,28,207,1990-01-15
41,27,750,1990-01-15
42,26,1342,1990-01-15
43,25,400,1990-01-15
44,24,332,1990-01-15
45,23,702,1990-01-15
46,22,181,1990-01-15
47,21,423,1990-01-15
48,17,38,1990-01-15
49,16,64,1990-01-15
50,15,681,1990-01-15
51,14,56,1990-01-15
52,13,275,1990-01-15
53,12,46,1990-01-15
54,11,235,1991-01-15
55,53,603,1991-01-15
56,52,1223,1991-01-15
57,51,264,1991-01-15
58,50,468,1991-01-15
59,43,1730,1991-01-15
60,42,1360,1991-01-15
61,41,2367,1991-01-15
62,35,7958,1991-01-15
63,33,2829,1991-01-15
64,32,752,1991-01-15
65,31,2307,1991-01-15
66,29,666,1991-01-15
67,28,324,1991-01-15
68,27,548,1991-01-15
69,26,1316,1991-01-15
70,25,456,1991-01-15
71,24,466,1991-01-15
72,23,738,1991-01-15
73,22,200,1991-01-15
74,21,454,1991-01-15
75,17,95,1991-01-15
76,16,82,1991-01-15
77,15,642,1991-01-15
78,14,53,1991-01-15
79,13,261,1991-01-15
80,12,58,1991-01-15
81,11,255,1992-01-15
82,12,76,1992-01-15
83,13,271,1992-01-15
84,14,77,1992-01-15
85,15,614,1992-01-15
86,16,63,1992-01-15
87,17,108,1992-01-15
88,21,526,1992-01-15
89,22,259,1992-01-15
90,23,728,1992-01-15
91,24,382,1992-01-15
92,25,402,1992-01-15
